id,meta.status,meta.reviewedBy,meta.changelog,meta.rootId,meta.parentId,label.fullName.de,label.fullName.en,definition.de,definition.en
/,01 in preparation,,,,,,,,
/accelerating-method/,01 in preparation,,,/,/,Beschleunigungmethoden,Accelerating Methods,,
/accelerating-method/electrodynamic-acceleration/,01 in preparation,,,/accelerating-method/,/accelerating-method/,Elektrodynamische Beschleunigung,Electrodynamic acceleration,"Bei der elektrodynamischen (oder elektromagnetischen) Beschleunigung werden elektromagnetische Wechselfelder genutzt, um Energie auf Teilchen zu übertragen.",Electrodynamic (or electromagnetic) acceleration employs changing electromagnetic fields to accelerate particles.
/accelerating-method/electrodynamic-acceleration/cavity-based-acceleration/,01 in preparation,,,/accelerating-method/,/accelerating-method/electrodynamic-acceleration/,Hohlraumbasierte Beschleunigungmethoden,Cavity Based Acceleration,"Bei der hohlraumbasierten Beschleunigung werden Metallkammern verwendet, in denen dynamische elektromagnetische Felder Energie auf Teilchen übertragen, die den Hohlraum durchqueren.",Cavity Based Acceleration uses metallic chambers containing dynamic electromagnetic fields to transfer energy to particles passing through the cavity.
/accelerating-method/electrodynamic-acceleration/cavity-based-acceleration/cavity-based_radiofrequency-driven_acceleration/,01 in preparation,,,/accelerating-method/,/accelerating-method/electrodynamic-acceleration/cavity-based-acceleration/,Hohlraumbasierte hochfrequenzgetriebene Beschleunigung,Cavity Based Radiofrequency Driven Acceleration,,
/accelerating-method/electrodynamic-acceleration/cavity-based-acceleration/cavity-based_radiofrequency-driven_acceleration/superconducting,01 in preparation,,,/accelerating-method/,/accelerating-method/electrodynamic-acceleration/cavity-based-acceleration/cavity-based_radiofrequency-driven_acceleration/,supraleitende hohlraumbasierte hochfrequenzgetriebene Beschleunigung,Superconducting,,
/accelerating-method/electrodynamic-acceleration/cavity-based-acceleration/cavity-based_terahertz-driven_acceleration,01 in preparation,,,/accelerating-method/,/accelerating-method/electrodynamic-acceleration/cavity-based-acceleration/,Hohlraumbasierte Terahertzstrahlung-getriebene Beschleunigung,Cavity Based Terahertz Driven Acceleration,,
/accelerating-method/electrodynamic-acceleration/nanophotonic-acceleration,01 in preparation,,,/accelerating-method/,/accelerating-method/electrodynamic-acceleration/,Nanophotonische Beschleunigung,Nanophotonic Acceleration,"Nanophotonische Beschleunigung, auch dielektrische Laserbeschleunigung (DLA) genannt, beruht auf der Verwendung ultrakurzer Laserpulse zur Anregung starker dynamischer elektromagnetischer Felder in siliziumbasierten Nanostrukturen. Diese starken Felder können dann Teilchen beschleunigen, die durch die Strukturen hindurchfliegen.","Nanophotonic acceleration, also known as dielectric laser acceleration (DLA), is based on the use of ultrashort laser pulses to excite strong dynamic electromagnetic fields in silicon-based nanostructures. These strong fields can then accelerate particles that fly through the structures."
/accelerating-method/electrostatic-acceleration,01 in preparation,,,/accelerating-method/,/accelerating-method/,Elektrostatische Beschleunigung,Electrostatic acceleration,"Die elektrostatische Beschleunigung nutzt statische elektrische Felder, um geladene Teilchen zu beschleunigen. Bei dieser Methode wird eine konstante Hochspannungspotentialdifferenz zwischen zwei Elektroden verwendet, um Energie auf die Teilchen zu übertragen.",Electrostatic acceleration uses static electric fields to accelerate charged particles. This method uses a constant high voltage potential difference between two electrodes to transfer energy to the particles.
/accelerating-method/plasma-based-acceleration/,01 in preparation,,,/accelerating-method/,/accelerating-method/,Plasmabasierte Beschleunigung,Plasma Based Acceleration,,
/accelerating-method/plasma-based-acceleration/plasma-based_beam-driven_acceleration,01 in preparation,,,/accelerating-method/,/accelerating-method/plasma-based-acceleration/,Plasmabasierte teilchenstrahlgetriebene Beschleunigung,Plasma Based Beam Driven Acceleration,,
/accelerating-method/plasma-based-acceleration/plasma-based_laser-driven_acceleration,01 in preparation,,,/accelerating-method/,/accelerating-method/plasma-based-acceleration/,Plasmabasierte lasergetriebene Beschleunigung,Plasma Based Laser Driven Acceleration,,
/accelerator-application/,01 in preparation,,,/,/,Anwendungsbereiche von Beschleunigern,Application areas of accelerators,,
/accelerator-application/industrial-application/,01 in preparation,,,/accelerator-application/,/accelerator-application/,Industrielle Anwendung ,Industrial Applicartion,,
/accelerator-application/industrial-application/manufacturing,01 in preparation,,,/accelerator-application/,/accelerator-application/industrial-application/,Fertigung und Materialverarbeitung,Manufacturing And Materials Processing,"Die Ionenimplantation ist in der Halbleiterindustrie für die Herstellung von digitaler Elektronik von entscheidender Bedeutung. Die Ionenimplantation wird auch zur Härtung von Schneidwerkzeugen und künstlichen menschlichen Gelenken sowie zur Veränderung der Oberflächen von Keramiken und Gläsern eingesetzt. Von Beschleunigern erzeugte Elektronenstrahlen werden für die Vernetzung und Polymerisation von Materialien, die Aushärtung von Tinten und Klebstoffen und den 3D-Druck von Metallen eingesetzt.","Ion Implantation is critical in the semiconductor industry for the fabrication of digital electronics. Ion implantation is also used to harden cutting tools and artificial human joints, and to modify the surfaces of ceramics and glasses. Accelerator-generated electron beams are used for cross-linking and polymerisation of materials, curing of inks and adhesives, and 3D printing of metals."
/accelerator-application/industrial-application/quality-control,01 in preparation,,,/accelerator-application/,/accelerator-application/industrial-application/,Quallitätssicherung,Quality Control,,
/accelerator-application/industrial-application/sterilization,01 in preparation,,,/accelerator-application/,/accelerator-application/industrial-application/,Sterilisation,Sterilzation,"Beschleunigererzeugte Elektronen- und Röntgenstrahlen werden zur Sterilisierung medizinischer Geräte, zur Konservierung und Desinfektion von Lebensmitteln sowie zur Behandlung und Reinigung von Abwässern eingesetzt.","Accelerator-generated electron beams and X-rays are used to sterilise medical equipment, preserve and disinfect food, and treat and purify waste water."
/accelerator-application/industrial-application/transmutation,01 in preparation,,,/accelerator-application/,/accelerator-application/industrial-application/,Transmutation,Transmutation,,
/accelerator-application/ion-beam-analysis,01 in preparation,,,/accelerator-application/,/accelerator-application/industrial-application/,Ionenstrahlanalyse,Ion Beam Analysis,,
/accelerator-application/medical-application/,01 in preparation,,,/accelerator-application/,/accelerator-application/,Gesundheitsanwendung ,Health Application,,
/accelerator-application/medical-application/proton-therapy,01 in preparation,,,/accelerator-application/,/accelerator-application/medical-application/,Protonentherapie,Proton Therapy,Eine medizinische Anwendung von Beschleunigertechnologie,
/accelerator-application/medical-application/radiosotope-production,01 in preparation,,,/accelerator-application/,/accelerator-application/medical-application/,Radioisotopproduktion,Radiosotope Production,,
/accelerator-application/metrology,01 in preparation,,,/accelerator-application/,/accelerator-application/,Metrologie,Metrology,Grundlagen der Metrologie/Radiometrie Metrologie für die Industrie/EUV-Lithographie Forschung und Entwicklung für optische Technologien/Weltrauminstrumente Materialmetrologie/Nanometrologie,
/accelerator-application/science-application/,01 in preparation,,,/accelerator-application/,/accelerator-application/,Wissenschaftliche Anwendungen,Science,,
/accelerator-application/science-application/accelerator-science,01 in preparation,,,/accelerator-application/,/accelerator-application/science-application/,Beschleunigerforschung,Accelerator Science,,
/accelerator-application/science-application/hadron-physics,01 in preparation,,,/accelerator-application/,/accelerator-application/science-application/,Hadronen- und Kernpysik,Hadron And Nuclear  Physics,,
/accelerator-application/science-application/high-energy-physics,01 in preparation,,,/accelerator-application/,/accelerator-application/science-application/,Teilchenphysik,High Energy Physics,,
/accelerator-application/science-application/neutron-science,01 in preparation,,,/accelerator-application/,/accelerator-application/science-application/,Forschung mit Neutronen,Neutron Science,,
/accelerator-application/science-application/photon-science,01 in preparation,,,/accelerator-application/,/accelerator-application/science-application/,Forschung Mit Photonen,Photon Science,,
/accelerator-application/security,01 in preparation,,,/accelerator-application/,/accelerator-application/,Sicherheitsanwendungen,Security,,
/accelerator-research-subfield/,01 in preparation,,,/,/,Beschleunigerforschungs-Bereiche,Accelerator Research Subfields,Als transdisziplinäres Gebiet mit natur- und ingenieurwissenschaftlichen Bezügen läßt sich die Beschleunigerforschung selbst in (sich teilweise überschneidende) Teilbereiche gliedern.,"As a transdisciplinary field with scientific and engineering aspects, accelerator research itself can be organised into (partially overlapping) subfields."
/accelerator-research-subfield/beam-dynamics,01 in preparation,,,/accelerator-research-subfield/,/accelerator-research-subfield/,Strahldynamik,Beam Dynamics,"Die Strahldynamik befasst sich mit dem Verständnis und der Kontrolle des Verhaltens von Teilchenstrahlen in Beschleunigern. Dazu gehören die Untersuchung von Teilchenbewegungen und -flugbahnen, die Entwicklung von Techniken zur Strahlfokussierung und -lenkung sowie die Analyse von Strahlinstabilitäten und deren Eindämmung.","Beam dynamics focuses on understanding and controlling the behaviour of particle beams in accelerators. This includes the study of particle motion and trajectories, the development of beam focusing and steering techniques, and the analysis of beam instabilities and their mitigation."
/accelerator-research-subfield/cryogenic-engineering,01 in preparation,,,/accelerator-research-subfield/,/accelerator-research-subfield/,"Die Kältetechnik befasst sich mit Temperaturen um -160 °C und darunter, bei denen Gase eine flüssige Form annehmen und als „kryogen“ bezeichnet werden. Sie befasst sich mit der Verflüssigung von Gasen wie Stickstoff, ihrer Lagerung und ihrer Lieferung an den Ort der Verwendung. In der Beschleunigerforschung spielt die Kryotechnik eine entscheidende Rolle für den Betrieb von Beschleunigern mit supraleitenden Komponenten.",Cryogenic engineering,"Kältetechnik befasst sich mit Temperaturen um -160 °C und darunter, bei denen Gase eine flüssige Form annehmen und als „kryogen“ bezeichnet werden. Sie befasst sich mit der Verflüssigung von Gasen wie Stickstoff, ihrer Lagerung und ihrer Lieferung an den Ort der Verwendung. In der Beschleunigerforschung spielt die Kältetechnik eine entscheidende Rolle für den Betrieb von Beschleunigern mit supraleitenden Komponenten.","Cryogenic engineering focuses on temperatures around -160°C and below, where gases take on a liquid form and are referred to as ""cryogenic"". It involves the study of the liquefaction of gases such as nitrogen, their storage and their delivery to the point of use. In accelerator research, cryogenics plays a vital role in the operation of accelerators with superconducting components."
